fecha	gamma	alpha	lambda	subsample	tree_method	grow_policy	max_bin	max_leaves	scale_pos_weight	eta	colsample_bytree	min_child_weight	max_depth	prob_corte	nrounds	ganancia	iteracion
20220531 004728	0	0	0	1	auto	depthwise	256	0	1	0.0103121833623365	0.998765657850965	6	30	0.0126894262803777	296	13160000	70
20220531 004908	0	0	0	1	auto	depthwise	256	0	1	0.198320174009489	0.439277876394822	5	2	0.0131125336855816	90	12801000	71
20220531 010034	0	0	0	1	auto	depthwise	256	0	1	0.0103901895504201	0.346392286127574	4	4	0.0170132372638032	451	13570000	72
20220531 010746	0	0	0	1	auto	depthwise	256	0	1	0.0116589289113387	0.222205698275419	3	2	0.0188241514919047	852	13067000	73
20220531 013135	0	0	0	1	auto	depthwise	256	0	1	0.0100198903712794	0.279473484736742	10	27	0.0125983736446501	397	13484000	74
20220531 013704	0	0	0	1	auto	depthwise	256	0	1	0.0699585193784584	0.341315317709211	10	5	0.0137902870748444	282	13743000	75
20220531 022213	0	0	0	1	auto	depthwise	256	0	1	0.0103998712265585	0.999377504985981	9	11	0.0129439264467263	275	13596000	76
20220531 030426	0	0	0	1	auto	depthwise	256	0	1	0.0100313283544789	0.574409970659857	6	30	0.01231973018899	196	13510000	77
20220531 031550	0	0	0	1	auto	depthwise	256	0	1	0.0340559291806351	0.438940199049667	10	25	0.012645506068497	116	13547000	78
20220531 035003	0	0	0	1	auto	depthwise	256	0	1	0.0100715838586605	0.522982323517678	10	18	0.0132277147402088	332	13882000	79
20220531 045058	0	0	0	1	auto	depthwise	256	0	1	0.0100094569519887	0.998979030944212	9	27	0.0259838990456525	222	11125000	80
20220531 050736	0	0	0	1	auto	depthwise	256	0	1	0.010210667745125	0.346371586841692	6	5	0.0136759809854077	683	13901000	81
20220531 054449	0	0	0	1	auto	depthwise	256	0	1	0.010209036717872	0.922514316602884	10	5	0.013473151873969	771	14001000	82
20220531 060928	0	0	0	1	auto	depthwise	256	0	1	0.0100615484947065	0.379182078612578	10	8	0.0132434596564064	683	13885000	83
20220531 064200	0	0	0	1	auto	depthwise	256	0	1	0.0100427698717473	0.47191010926614	9	16	0.0135671425863213	379	13717000	84
20220531 070530	0	0	0	1	auto	depthwise	256	0	1	0.0106840355226136	0.91376254804318	6	6	0.0132655809967609	153	13627000	85
20220531 071025	0	0	0	1	auto	depthwise	256	0	1	0.0866870411638387	0.999626285786812	10	4	0.0137354717947647	80	13666000	86
20220531 080028	0	0	0	1	auto	depthwise	256	0	1	0.0102082254273627	0.967702546169605	10	20	0.0135213366067186	192	13626000	87
20220531 080139	0	0	0	1	auto	depthwise	256	0	1	0.150892492151878	0.201282276635635	10	3	0.0142431862431313	77	13424000	88
20220531 080857	0	0	0	1	auto	depthwise	256	0	1	0.171367391037355	0.999721706461251	10	27	0.0128347070634424	18	12447000	89
20220531 083326	0	0	0	1	auto	depthwise	256	0	1	0.0101264137734386	0.55201503973027	6	5	0.0130809279628392	731	14042000	90
20220531 092913	0	0	0	1	auto	depthwise	256	0	1	0.0101487637227773	0.861095003684047	9	27	0.0128551897456528	264	13487000	91
20220531 101110	0	0	0	1	auto	depthwise	256	0	1	0.0101558904955591	0.845249339275759	10	9	0.0132829461405516	458	14021000	92
20220531 103325	0	0	0	1	auto	depthwise	256	0	1	0.0100135971197698	0.595474320244178	10	6	0.0130375908996214	408	14192000	93
20220531 103606	0	0	0	1	auto	depthwise	256	0	1	0.0882369027031191	0.271327431147936	5	4	0.0144799977270778	155	13507000	94
20220531 103956	0	0	0	1	auto	depthwise	256	0	1	0.150267923417311	0.900080058237016	10	6	0.0128496023954336	32	12943000	95
20220531 104151	0	0	0	1	auto	depthwise	256	0	1	0.284527776669173	0.999651644680582	10	2	0.0268990433029515	67	11437000	96
20220531 112337	0	0	0	1	auto	depthwise	256	0	1	0.0102016685699597	0.957371358157473	10	8	0.0145626837553541	425	14035000	97
20220531 114842	0	0	0	1	auto	depthwise	256	0	1	0.0103222924085884	0.547621692674432	10	5	0.0130570245178197	812	14193000	98
20220531 122255	0	0	0	1	auto	depthwise	256	0	1	0.0100873571634804	0.424337953646235	4	30	0.0124073690466555	147	13314000	99
20220531 122547	0	0	0	1	auto	depthwise	256	0	1	0.0705674108045967	0.200042261233653	9	2	0.0145020961093093	436	13847000	100
20220531 122647	0	0	0	1	auto	depthwise	256	0	1	0.286297633337942	0.847636666186895	10	2	0.0499605489612648	10	7760000	101
20220531 125638	0	0	0	1	auto	depthwise	256	0	1	0.0100965673511378	0.452780754210836	6	20	0.0133713916816632	188	13346000	102
20220531 131541	0	0	0	1	auto	depthwise	256	0	1	0.0102340365443413	0.317624681971539	9	6	0.0144393871951753	765	13879000	103
20220531 141358	0	0	0	1	auto	depthwise	256	0	1	0.010190756780126	0.999127751102381	10	15	0.0285195512000671	362	10500000	104
20220531 141542	0	0	0	1	auto	depthwise	256	0	1	0.299911107892812	0.200301715110429	10	30	0.0130512287433902	17	11111000	105
20220531 144619	0	0	0	1	auto	depthwise	256	0	1	0.0101523987910621	0.571168798044708	10	8	0.0133300479323563	559	14134000	106
20220531 151639	0	0	0	1	auto	depthwise	256	0	1	0.0101950856381402	0.488952078025714	5	30	0.00835146829157611	49	12836000	107
20220531 153914	0	0	0	1	auto	depthwise	256	0	1	0.0102865034113907	0.579100387429296	10	5	0.0136855663268884	624	14169000	108
20220531 155944	0	0	0	1	auto	depthwise	256	0	1	0.0102657880452692	0.437148507983959	5	5	0.0130212044348352	712	13856000	109
20220531 162726	0	0	0	1	auto	depthwise	256	0	1	0.0100265932568481	0.648498124646968	10	6	0.0130887257144559	569	14249000	110
20220531 164217	0	0	0	1	auto	depthwise	256	0	1	0.0274317960478482	0.999218380538786	8	5	0.014567195525051	239	13964000	111
20220531 175333	0	0	0	1	auto	depthwise	256	0	1	0.0100493965446204	0.999798226547008	8	24	0.0131329248278385	323	13561000	112
20220531 180100	0	0	0	1	auto	depthwise	256	0	1	0.0105851572357297	0.200326541138978	0	2	0.0417385193278279	942	9517000	113
20220531 183047	0	0	0	1	auto	depthwise	256	0	1	0.0100057269933948	0.672071468613893	10	6	0.0132385533928471	607	14187000	114
20220531 185601	0	0	0	1	auto	depthwise	256	0	1	0.0101638487162144	0.851893205047724	10	6	0.0148566171614266	267	14086000	115
20220531 185655	0	0	0	1	auto	depthwise	256	0	1	0.299770426865929	0.200062233536065	0	2	0.0139181740055907	66	11595000	116
20220531 190357	0	0	0	1	auto	depthwise	256	0	1	0.0841443968675768	0.998586506368007	7	6	0.0144785124408374	81	13631000	117
20220531 193919	0	0	0	1	auto	depthwise	256	0	1	0.0100543317766252	0.794680777587988	10	6	0.0138686333017751	669	14341000	118
20220531 204117	0	0	0	1	auto	depthwise	256	0	1	0.0111547005782024	0.981413450293221	10	30	0.0499945550733138	337	6912000	119
20220531 204250	0	0	0	1	auto	depthwise	256	0	1	0.299953957419878	0.761090936042275	10	2	0.0145122681179529	54	12499000	120
