fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	seed	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia	iteracion
20220530 042117	binary	custom	TRUE	TRUE	FALSE	-100	999007	-1	0	0	0	31	40	TRUE	999007	0.160590865610071	0.48845130454789	7073	751	0.015855905113598	13809000	57
20220530 042139	binary	custom	TRUE	TRUE	FALSE	-100	999007	-1	0	0	0	31	130	TRUE	999007	0.0513959014453767	0.210811967920627	5715	795	0.0235208269244783	12325000	58
20220530 042153	binary	custom	TRUE	TRUE	FALSE	-100	999007	-1	0	0	0	31	35	TRUE	999007	0.0739354954186264	0.970799169474906	2630	129	0.0159384851006453	13722000	59
20220530 042205	binary	custom	TRUE	TRUE	FALSE	-100	999007	-1	0	0	0	31	48	TRUE	999007	0.191151137394869	0.276090137528803	5037	1020	0.0119982252029665	13511000	60
20220530 042217	binary	custom	TRUE	TRUE	FALSE	-100	999007	-1	0	0	0	31	65	TRUE	999007	0.183832237794461	0.20442954013065	6641	878	0.00898987358143413	12048000	61
20220530 042226	binary	custom	TRUE	TRUE	FALSE	-100	999007	-1	0	0	0	31	32	TRUE	999007	0.202003273434324	0.999196027870613	4733	762	0.0118174236287903	12934000	62
20220530 042236	binary	custom	TRUE	TRUE	FALSE	-100	999007	-1	0	0	0	31	22	TRUE	999007	0.190792317481116	0.202787019105869	5803	1024	0.0146374215567485	13597000	63
20220530 042250	binary	custom	TRUE	TRUE	FALSE	-100	999007	-1	0	0	0	31	29	TRUE	999007	0.141877798695454	0.454483475843457	2656	996	0.014057232604963	13529000	64
20220530 042426	binary	custom	TRUE	TRUE	FALSE	-100	999007	-1	0	0	0	31	134	TRUE	999007	0.0101439515033903	0.997604249304332	81	249	0.016114698953851	8902000	65
20220530 042448	binary	custom	TRUE	TRUE	FALSE	-100	999007	-1	0	0	0	31	54	TRUE	999007	0.0557202150744542	0.562858963892743	2705	818	0.0155153468441337	13764000	66
20220530 042505	binary	custom	TRUE	TRUE	FALSE	-100	999007	-1	0	0	0	31	131	TRUE	999007	0.0492898939251134	0.996637293884348	7987	710	0.0154376863502157	13385000	67
20220530 042547	binary	custom	TRUE	TRUE	FALSE	-100	999007	-1	0	0	0	31	184	TRUE	999007	0.0202412018117934	0.999208812060471	1873	682	0.0156978446120501	13186000	68
20220530 042726	binary	custom	TRUE	TRUE	FALSE	-100	999007	-1	0	0	0	31	482	TRUE	999007	0.0100166162751874	0.431189493495504	2844	143	0.0157057703193373	14022000	69
20220530 042827	binary	custom	TRUE	TRUE	FALSE	-100	999007	-1	0	0	0	31	598	TRUE	999007	0.0109397321092103	0.999424891068472	7556	16	0.0097457118738055	12801000	70
20220530 042837	binary	custom	TRUE	TRUE	FALSE	-100	999007	-1	0	0	0	31	9	TRUE	999007	0.299266230040361	0.903228880541821	1564	1023	0.015954857193254	11823000	71
20220530 042852	binary	custom	TRUE	TRUE	FALSE	-100	999007	-1	0	0	0	31	33	TRUE	999007	0.137245147247275	0.998459837604088	5971	16	0.0158320913904639	13375000	72
20220530 042909	binary	custom	TRUE	TRUE	FALSE	-100	999007	-1	0	0	0	31	45	TRUE	999007	0.0580194987627404	0.723391914608853	1840	332	0.0161554407184286	13524000	73
20220530 043014	binary	custom	TRUE	TRUE	FALSE	-100	999007	-1	0	0	0	31	493	TRUE	999007	0.017754159131297	0.252933125686847	4510	1016	0.0160451894517976	14063000	74
20220530 043039	binary	custom	TRUE	TRUE	FALSE	-100	999007	-1	0	0	0	31	134	TRUE	999007	0.0228296777639172	0.646830120474457	3103	16	0.0161799687543705	13877000	75
20220530 043202	binary	custom	TRUE	TRUE	FALSE	-100	999007	-1	0	0	0	31	830	TRUE	999007	0.0107150199509162	0.999580197012116	4997	127	0.0213919408838052	12817000	76
20220530 043212	binary	custom	TRUE	TRUE	FALSE	-100	999007	-1	0	0	0	31	23	TRUE	999007	0.0996443988931499	0.814397420755272	2650	18	0.0121819478963192	13145000	77
20220530 043311	binary	custom	TRUE	TRUE	FALSE	-100	999007	-1	0	0	0	31	549	TRUE	999007	0.0105854399528814	0.877633537087979	7997	18	0.016101101819187	13438000	78
20220530 043321	binary	custom	TRUE	TRUE	FALSE	-100	999007	-1	0	0	0	31	23	TRUE	999007	0.165361623737078	0.340023828290614	6306	620	0.016224955564818	13264000	79
20220530 043331	binary	custom	TRUE	TRUE	FALSE	-100	999007	-1	0	0	0	31	24	TRUE	999007	0.245497972761481	0.384505750361984	7992	1024	0.0163301905820775	13587000	80
20220530 043339	binary	custom	TRUE	TRUE	FALSE	-100	999007	-1	0	0	0	31	23	TRUE	999007	0.208369118378698	0.999741310617132	7934	759	0.0162490035055437	13369000	81
20220530 043346	binary	custom	TRUE	TRUE	FALSE	-100	999007	-1	0	0	0	31	19	TRUE	999007	0.207454327718552	0.988950723255964	1674	16	0.0159330048098747	13169000	82
20220530 043415	binary	custom	TRUE	TRUE	FALSE	-100	999007	-1	0	0	0	31	87	TRUE	999007	0.0557298686539174	0.482945157260271	2749	115	0.0168249518733383	13854000	83
20220530 043423	binary	custom	TRUE	TRUE	FALSE	-100	999007	-1	0	0	0	31	24	TRUE	999007	0.240045487414789	0.9967754559419	7994	1024	0.0269790873610054	11653000	84
20220530 043528	binary	custom	TRUE	TRUE	FALSE	-100	999007	-1	0	0	0	31	311	TRUE	999007	0.0102298550166315	0.742071534087854	2454	1021	0.0158632408379087	13799000	85
20220530 043545	binary	custom	TRUE	TRUE	FALSE	-100	999007	-1	0	0	0	31	44	TRUE	999007	0.0809326678323032	0.807169139287166	1467	1023	0.0214778903710818	12541000	86
20220530 043613	binary	custom	TRUE	TRUE	FALSE	-100	999007	-1	0	0	0	31	193	TRUE	999007	0.0225299653504951	0.998733193364703	4487	16	0.015578649876204	13626000	87
20220530 043623	binary	custom	TRUE	TRUE	FALSE	-100	999007	-1	0	0	0	31	37	TRUE	999007	0.299465966673228	0.203599849004084	1929	16	0.015623537209548	12179000	88
20220530 043748	binary	custom	TRUE	TRUE	FALSE	-100	999007	-1	0	0	0	31	485	TRUE	999007	0.0111306022465799	0.379424184879053	4316	520	0.01602127446801	13632000	89
20220530 043824	binary	custom	TRUE	TRUE	FALSE	-100	999007	-1	0	0	0	31	234	TRUE	999007	0.023112399665042	0.211191044438298	3141	16	0.0154535401824159	13801000	90
20220530 043837	binary	custom	TRUE	TRUE	FALSE	-100	999007	-1	0	0	0	31	61	TRUE	999007	0.17255728397871	0.231644214368147	5323	16	0.0160334197052309	13443000	91
20220530 043921	binary	custom	TRUE	TRUE	FALSE	-100	999007	-1	0	0	0	31	432	TRUE	999007	0.0560190237644354	0.297548063293867	7999	17	0.00833390302516398	12095000	92
20220530 043937	binary	custom	TRUE	TRUE	FALSE	-100	999007	-1	0	0	0	31	27	TRUE	999007	0.137369380093395	0.291740098843839	7995	758	0.016660272194953	13132000	93
20220530 043948	binary	custom	TRUE	TRUE	FALSE	-100	999007	-1	0	0	0	31	50	TRUE	999007	0.0943680462536748	0.999960966731813	7362	462	0.0156634077980295	13160000	94
