,experimento,fecha,lambda_l1,lambda_l2,min_gain_to_split,bagging_fraction,pos_bagging_fraction,neg_bagging_fraction,max_depth,max_bin,seed,extra_trees,drop_rate,max_drop,skip_drop,metric,first_metric_only,objective,boost_from_average,force_row_wise,feature_pre_filter,boosting,num_threads,verbosity,verbose,learning_rate,feature_fraction,num_leaves,min_data_in_leaf,num_iterations,prob_corte,estimulos,ganancia,iteracion_bayesiana
HT8310_2019_02,20220617,52618,0,0,0,1,1,1,-1,31,999983,FALSE,0.1,50,0.5,custom,TRUE,binary,TRUE,TRUE,FALSE,gbdt,0,-100,-100,0.243696701243025,0.139980556171213,441,1398,19,0.053484799619349,10976,11104000,15
HT8310_2019_02,20220617,52732,0,0,0,1,1,1,-1,31,999983,FALSE,0.1,50,0.5,custom,TRUE,binary,TRUE,TRUE,FALSE,gbdt,0,-100,-100,0.165277003847272,0.698436879431084,1081,6526,137,0.046975600232027,12544,11096000,110
HT8310_2019_02,20220617,52856,0,0,0,1,1,1,-1,31,999983,FALSE,0.1,50,0.5,custom,TRUE,binary,TRUE,TRUE,FALSE,gbdt,0,-100,-100,0.272241616715828,0.253244047491904,928,6769,106,0.057933251314574,10392,11088000,114
HT8310_2019_02,20220617,53008,0,0,0,1,1,1,-1,31,999983,FALSE,0.1,50,0.5,custom,TRUE,binary,TRUE,TRUE,FALSE,gbdt,0,-100,-100,0.076048677737387,0.982837307361607,1221,4705,82,0.052959118838571,10640,11080000,72
HT8310_2019_02,20220617,53238,0,0,0,1,1,1,-1,31,999983,FALSE,0.1,50,0.5,custom,TRUE,binary,TRUE,TRUE,FALSE,gbdt,0,-100,-100,0.276254133957126,0.74629264252896,1154,3602,37,0.056672181321809,10766,11074000,112
HT8310_2019_02,20220617,53334,0,0,0,1,1,1,-1,31,999983,FALSE,0.1,50,0.5,custom,TRUE,binary,TRUE,TRUE,FALSE,gbdt,0,-100,-100,0.17954998530462,0.786312349465152,1166,6255,80,0.048281779214223,12586,11054000,16
HT8310_2019_02,20220617,53552,0,0,0,1,1,1,-1,31,999983,FALSE,0.1,50,0.5,custom,TRUE,binary,TRUE,TRUE,FALSE,gbdt,0,-100,-100,0.094707338664816,0.112609258927475,540,1841,73,0.038818191093153,14042,11038000,30
HT8310_2019_02,20220617,53713,0,0,0,1,1,1,-1,31,999983,FALSE,0.1,50,0.5,custom,TRUE,binary,TRUE,TRUE,FALSE,gbdt,0,-100,-100,0.043933666484954,0.725531269809289,1302,3991,263,0.04351671317545,12746,11014000,2
HT8310_2019_02,20220617,53818,0,0,0,1,1,1,-1,31,999983,FALSE,0.1,50,0.5,custom,TRUE,binary,TRUE,TRUE,FALSE,gbdt,0,-100,-100,0.218741540015189,0.402970562975947,1193,6399,51,0.054282490000847,11668,11012000,38
HT8310_2019_02,20220617,53934,0,0,0,1,1,1,-1,31,999983,FALSE,0.1,50,0.5,custom,TRUE,binary,TRUE,TRUE,FALSE,gbdt,0,-100,-100,0.15580182981872,0.22254505741389,982,3236,48,0.048880465169983,11194,11006000,64
HT8310_2019_02,20220617,54041,0,0,0,1,1,1,-1,31,999983,FALSE,0.1,50,0.5,custom,TRUE,binary,TRUE,TRUE,FALSE,gbdt,0,-100,-100,0.077793387064678,0.920547404272342,1212,4918,84,0.052761485563926,10962,10998000,67
HT8310_2019_02,20220617,54159,0,0,0,1,1,1,-1,31,999983,FALSE,0.1,50,0.5,custom,TRUE,binary,TRUE,TRUE,FALSE,gbdt,0,-100,-100,0.247153190251286,0.486229236009857,1401,1085,18,0.04123162186799,12822,10938000,87
HT8310_2019_02,20220617,54236,0,0,0,1,1,1,-1,31,999983,FALSE,0.1,50,0.5,custom,TRUE,binary,TRUE,TRUE,FALSE,gbdt,0,-100,-100,0.06858238884076,0.154521770766121,682,7999,463,0.050444949313438,12112,10928000,42
HT8310_2019_02,20220617,54330,0,0,0,1,1,1,-1,31,999983,FALSE,0.1,50,0.5,custom,TRUE,binary,TRUE,TRUE,FALSE,gbdt,0,-100,-100,0.102904685465577,0.291893347817403,278,5268,143,0.055382175125996,11184,10896000,92
HT8310_2019_02,20220617,54418,0,0,0,1,1,1,-1,31,999983,FALSE,0.1,50,0.5,custom,TRUE,binary,TRUE,TRUE,FALSE,gbdt,0,-100,-100,0.226792097069179,0.393344031555881,941,6002,53,0.050943575021882,11800,10880000,28
HT8310_2019_02,20220617,54531,0,0,0,1,1,1,-1,31,999983,FALSE,0.1,50,0.5,custom,TRUE,binary,TRUE,TRUE,FALSE,gbdt,0,-100,-100,0.190314727840158,0.427681592786498,66,5940,81,0.044872178431419,13016,10864000,31
HT8310_2019_02,20220617,54627,0,0,0,1,1,1,-1,31,999983,FALSE,0.1,50,0.5,custom,TRUE,binary,TRUE,TRUE,FALSE,gbdt,0,-100,-100,0.213615910685533,0.517671355470899,56,7953,74,0.058309118600658,10144,10856000,83
HT8310_2019_02,20220617,54728,0,0,0,1,1,1,-1,31,999983,FALSE,0.1,50,0.5,custom,TRUE,binary,TRUE,TRUE,FALSE,gbdt,0,-100,-100,0.166364004997425,0.792488310616324,880,995,37,0.052184357909399,10876,10844000,76
HT8310_2019_02,20220617,54952,0,0,0,1,1,1,-1,31,999983,FALSE,0.1,50,0.5,custom,TRUE,binary,TRUE,TRUE,FALSE,gbdt,0,-100,-100,0.134515812569747,0.574552435198339,906,8505,249,0.062559113064731,10314,10806000,19
HT8310_2019_02,20220617,55043,0,0,0,1,1,1,-1,31,999983,FALSE,0.1,50,0.5,custom,TRUE,binary,TRUE,TRUE,FALSE,gbdt,0,-100,-100,0.211537859928067,0.472010737254459,146,5156,51,0.049637942065262,12000,10800000,10
HT8310_2019_02,20220617,55129,0,0,0,1,1,1,-1,31,999983,FALSE,0.1,50,0.5,custom,TRUE,binary,TRUE,TRUE,FALSE,gbdt,0,-100,-100,0.291661255173522,0.856334283117973,754,4659,37,0.066320879716565,9004,10796000,57
HT8310_2019_02,20220617,55224,0,0,0,1,1,1,-1,31,999983,FALSE,0.1,50,0.5,custom,TRUE,binary,TRUE,TRUE,FALSE,gbdt,0,-100,-100,0.109055187950795,0.718817888564453,1181,6391,157,0.049173997687531,12860,10780000,20
HT8310_2019_02,20220617,55312,0,0,0,1,1,1,-1,31,999983,FALSE,0.1,50,0.5,custom,TRUE,binary,TRUE,TRUE,FALSE,gbdt,0,-100,-100,0.112206823701614,0.421873312736605,1257,4669,91,0.052746353557056,11062,10778000,54
HT8310_2019_02,20220617,55359,0,0,0,1,1,1,-1,31,999983,FALSE,0.1,50,0.5,custom,TRUE,binary,TRUE,TRUE,FALSE,gbdt,0,-100,-100,0.046144424119543,0.948382064583665,378,3334,199,0.045767762166224,12404,10756000,60
HT8310_2019_02,20220617,55517,0,0,0,1,1,1,-1,31,999983,FALSE,0.1,50,0.5,custom,TRUE,binary,TRUE,TRUE,FALSE,gbdt,0,-100,-100,0.228162470025821,0.429004823934217,1216,6022,34,0.042312211446897,13846,10754000,98
HT8310_2019_02,20220617,55618,0,0,0,1,1,1,-1,31,999983,FALSE,0.1,50,0.5,custom,TRUE,binary,TRUE,TRUE,FALSE,gbdt,0,-100,-100,0.114807162203032,0.995964059002022,1243,2082,83,0.04644743249742,11340,10740000,50
HT8310_2019_02,20220617,55706,0,0,0,1,1,1,-1,31,999983,FALSE,0.1,50,0.5,custom,TRUE,binary,TRUE,TRUE,FALSE,gbdt,0,-100,-100,0.158583915213298,0.497974649444339,1198,7982,119,0.047315040557645,12420,10740000,52
HT8310_2019_02,20220617,55755,0,0,0,1,1,1,-1,31,999983,FALSE,0.1,50,0.5,custom,TRUE,binary,TRUE,TRUE,FALSE,gbdt,0,-100,-100,0.204644293292367,0.16762620593363,614,6754,48,0.044629302539026,13626,10734000,5
HT8310_2019_02,20220617,55857,0,0,0,1,1,1,-1,31,999983,FALSE,0.1,50,0.5,custom,TRUE,binary,TRUE,TRUE,FALSE,gbdt,0,-100,-100,0.254881851828977,0.694717234022391,59,8499,48,0.047802497009243,12072,10728000,14
HT8310_2019_02,20220617,55959,0,0,0,1,1,1,-1,31,999983,FALSE,0.1,50,0.5,custom,TRUE,binary,TRUE,TRUE,FALSE,gbdt,0,-100,-100,0.110172533059255,0.572736529607885,1120,5794,78,0.047559646159889,12556,10724000,26
HT8310_2019_02,20220617,60312,0,0,0,1,1,1,-1,31,999983,FALSE,0.1,50,0.5,custom,TRUE,binary,TRUE,TRUE,FALSE,gbdt,0,-100,-100,0.279256253124156,0.18984167803973,287,3283,49,0.051811559033572,12196,10724000,106
HT8310_2019_02,20220617,60406,0,0,0,1,1,1,-1,31,999983,FALSE,0.1,50,0.5,custom,TRUE,binary,TRUE,TRUE,FALSE,gbdt,0,-100,-100,0.062740797753348,0.707065885409084,355,3266,120,0.043393602599544,12940,10700000,39
HT8310_2019_02,20220617,60444,0,0,0,1,1,1,-1,31,999983,FALSE,0.1,50,0.5,custom,TRUE,binary,TRUE,TRUE,FALSE,gbdt,0,-100,-100,0.237038823810304,0.211236353384797,113,4674,42,0.053353057595205,11794,10646000,97
HT8310_2019_02,20220617,60524,0,0,0,1,1,1,-1,31,999983,FALSE,0.1,50,0.5,custom,TRUE,binary,TRUE,TRUE,FALSE,gbdt,0,-100,-100,0.27961277444876,0.323013692026143,1482,2768,39,0.041704217867013,12756,10644000,11
HT8310_2019_02,20220617,60615,0,0,0,1,1,1,-1,31,999983,FALSE,0.1,50,0.5,custom,TRUE,binary,TRUE,TRUE,FALSE,gbdt,0,-100,-100,0.292349479592764,0.469711741302046,1258,7858,48,0.060362914967854,10362,10638000,62
HT8310_2019_02,20220617,60705,0,0,0,1,1,1,-1,31,999983,FALSE,0.1,50,0.5,custom,TRUE,binary,TRUE,TRUE,FALSE,gbdt,0,-100,-100,0.249867668774123,0.487265926728072,991,3211,31,0.047050476701568,12042,10638000,107
HT8310_2019_02,20220617,60813,0,0,0,1,1,1,-1,31,999983,FALSE,0.1,50,0.5,custom,TRUE,binary,TRUE,TRUE,FALSE,gbdt,0,-100,-100,0.016278682722836,0.901632195077906,1394,7109,1088,0.041541398745247,14452,10628000,75
HT8310_2019_02,20220617,60921,0,0,0,1,1,1,-1,31,999983,FALSE,0.1,50,0.5,custom,TRUE,binary,TRUE,TRUE,FALSE,gbdt,0,-100,-100,0.048164173020341,0.963897830840142,250,2033,196,0.034873465535545,14118,10602000,4
HT8310_2019_02,20220617,61031,0,0,0,1,1,1,-1,31,999983,FALSE,0.1,50,0.5,custom,TRUE,binary,TRUE,TRUE,FALSE,gbdt,0,-100,-100,0.218809247753883,0.141475633657142,382,7233,131,0.051197135161385,11600,10600000,103
HT8310_2019_02,20220617,61109,0,0,0,1,1,1,-1,31,999983,FALSE,0.1,50,0.5,custom,TRUE,binary,TRUE,TRUE,FALSE,gbdt,0,-100,-100,0.091678355751119,0.863257575254748,1033,3355,56,0.058607425848783,10044,10596000,68
HT8310_2019_02,20220617,61200,0,0,0,1,1,1,-1,31,999983,FALSE,0.1,50,0.5,custom,TRUE,binary,TRUE,TRUE,FALSE,gbdt,0,-100,-100,0.136778770693012,0.400730396701023,597,6036,94,0.054794931486536,11030,10570000,104
