max_depth	min_split	min_bucket	peso_error	ganancia_promedio
8	60	200	40	9742000
8	60	200	60	8618667
8	60	200	1000	11304000
8	60	200	60000	0
8	60	500	-1	NA
8	60	500	1	9060000
8	60	500	10	9479333
8	60	500	20	8637333
8	60	500	40	8861333
8	60	500	60	9222000
8	60	500	1000	1.1e+07
8	60	500	60000	0
8	100	20	-1	NA
8	100	20	1	7970667
8	100	20	10	7994000
8	100	20	20	8358000
8	100	20	40	8586000
8	100	20	60	8524667
8	100	20	1000	9758000
8	100	20	60000	0
8	100	30	-1	NA
8	100	30	1	8026667
8	100	30	10	8030667
8	100	30	20	7962667
8	100	30	40	8414000
8	100	30	60	8330000
8	100	30	1000	9737333
8	100	30	60000	0
8	100	50	-1	NA
8	100	50	1	8116000
8	100	50	10	7456667
8	100	50	20	7980667
8	100	50	40	8190000
8	100	50	60	8166000
8	100	50	1000	9635333
8	100	50	60000	0
8	100	200	-1	NA
8	100	200	1	8709333
8	100	200	10	7936667
8	100	200	20	8666000
8	100	200	40	9742000
8	100	200	60	8618667
8	100	200	1000	11304000
8	100	200	60000	0
8	100	500	-1	NA
8	100	500	1	9060000
8	100	500	10	9479333
8	100	500	20	8637333
8	100	500	40	8861333
8	100	500	60	9222000
8	100	500	1000	1.1e+07
8	100	500	60000	0
8	400	20	-1	NA
8	400	20	1	8167333
8	400	20	10	8070667
8	400	20	20	8716667
8	400	20	40	8932667
8	400	20	60	8844667
8	400	20	1000	9911333
8	400	20	60000	0
8	400	30	-1	NA
8	400	30	1	8103333
8	400	30	10	7723333
8	400	30	20	8430000
8	400	30	40	8828667
8	400	30	60	8716667
8	400	30	1000	9907333
8	400	30	60000	0
8	400	50	-1	NA
8	400	50	1	8192000
8	400	50	10	7528000
8	400	50	20	8644667
8	400	50	40	8729333
8	400	50	60	8784667
8	400	50	1000	9886000
8	400	50	60000	0
8	400	200	-1	NA
8	400	200	1	8709333
8	400	200	10	7936667
8	400	200	20	8666000
8	400	200	40	9742000
8	400	200	60	8618667
8	400	200	1000	11304000
8	400	200	60000	0
8	400	500	-1	NA
8	400	500	1	9060000
8	400	500	10	9479333
8	400	500	20	8637333
8	400	500	40	8861333
8	400	500	60	9222000
8	400	500	1000	1.1e+07
8	400	500	60000	0
8	1000	20	-1	NA
8	1000	20	1	8854667
8	1000	20	10	8747333
8	1000	20	20	8714667
8	1000	20	40	8714000
8	1000	20	60	9059333
8	1000	20	1000	10043333
8	1000	20	60000	0
8	1000	30	-1	NA
8	1000	30	1	8971333
8	1000	30	10	8152000
8	1000	30	20	8548000
8	1000	30	40	8666667
8	1000	30	60	9016000
8	1000	30	1000	10042667
8	1000	30	60000	0
8	1000	50	-1	NA
8	1000	50	1	8927333
8	1000	50	10	7986000
8	1000	50	20	8704667
8	1000	50	40	8593333
8	1000	50	60	8961333
8	1000	50	1000	10035333
8	1000	50	60000	0
8	1000	200	-1	NA
8	1000	200	1	9380667
8	1000	200	10	9078667
8	1000	200	20	8510000
8	1000	200	40	9122000
8	1000	200	60	9420000
8	1000	200	1000	11460667
8	1000	200	60000	0
8	1000	500	-1	NA
8	1000	500	1	9060000
8	1000	500	10	9479333
8	1000	500	20	8637333
8	1000	500	40	8861333
8	1000	500	60	9222000
8	1000	500	1000	1.1e+07
8	1000	500	60000	0
10	60	20	-1	NA
10	60	20	1	6986000
10	60	20	10	6574000
10	60	20	20	8023333
10	60	20	40	8204667
10	60	20	60	8524667
10	60	20	1000	10052000
10	60	20	60000	0
10	60	30	-1	NA
10	60	30	1	6530000
10	60	30	10	7054667
10	60	30	20	7496000
10	60	30	40	8114667
10	60	30	60	8255333
10	60	30	1000	10054667
10	60	30	60000	0
10	60	50	-1	NA
10	60	50	1	5792667
10	60	50	10	5877333
10	60	50	20	7358667
10	60	50	40	7427333
10	60	50	60	7689333
10	60	50	1000	9890000
10	60	50	60000	0
10	60	200	-1	NA
10	60	200	1	8243333
10	60	200	10	7496667
10	60	200	20	8678667
10	60	200	40	8452667
10	60	200	60	7899333
10	60	200	1000	10994000
10	60	200	60000	0
10	60	500	-1	NA
10	60	500	1	9051333
10	60	500	10	9479333
10	60	500	20	8637333
10	60	500	40	8751333
10	60	500	60	9114667
10	60	500	1000	10640000
10	60	500	60000	0
10	100	20	-1	NA
10	100	20	1	7014000
10	100	20	10	6404000
10	100	20	20	7894000
10	100	20	40	8042667
10	100	20	60	8394000
10	100	20	1000	10002667
10	100	20	60000	0
10	100	30	-1	NA
10	100	30	1	6698000
10	100	30	10	6936667
10	100	30	20	7566667
10	100	30	40	7970000
10	100	30	60	8094667
10	100	30	1000	10015333
10	100	30	60000	0
10	100	50	-1	NA
10	100	50	1	5792667
10	100	50	10	5877333
10	100	50	20	7358667
10	100	50	40	7427333
10	100	50	60	7689333
10	100	50	1000	9890000
10	100	50	60000	0
10	100	200	-1	NA
10	100	200	1	8243333
10	100	200	10	7496667
10	100	200	20	8678667
10	100	200	40	8452667
10	100	200	60	7899333
10	100	200	1000	10994000
10	100	200	60000	0
10	100	500	-1	NA
10	100	500	1	9051333
10	100	500	10	9479333
10	100	500	20	8637333
10	100	500	40	8751333
10	100	500	60	9114667
10	100	500	1000	10640000
10	100	500	60000	0
10	400	20	-1	NA
10	400	20	1	7828667
10	400	20	10	7130000
10	400	20	20	8239333
10	400	20	40	8234667
10	400	20	60	8681333
10	400	20	1000	10142000
10	400	20	60000	0
10	400	30	-1	NA
10	400	30	1	7324000
10	400	30	10	6992000
10	400	30	20	8132000
10	400	30	40	8195333
10	400	30	60	8544000
10	400	30	1000	10144667
10	400	30	60000	0
10	400	50	-1	NA
10	400	50	1	7099333
10	400	50	10	6444667
10	400	50	20	8369333
10	400	50	40	8045333
10	400	50	60	8424000
10	400	50	1000	10072667
10	400	50	60000	0
10	400	200	-1	NA
10	400	200	1	8243333
10	400	200	10	7496667
10	400	200	20	8678667
10	400	200	40	8452667
10	400	200	60	7899333
10	400	200	1000	10994000
10	400	200	60000	0
10	400	500	-1	NA
10	400	500	1	9051333
10	400	500	10	9479333
10	400	500	20	8637333
10	400	500	40	8751333
10	400	500	60	9114667
10	400	500	1000	10640000
10	400	500	60000	0
10	1000	20	-1	NA
10	1000	20	1	9014000
10	1000	20	10	8388667
10	1000	20	20	8369333
10	1000	20	40	8219333
10	1000	20	60	8644000
10	1000	20	1000	10608000
10	1000	20	60000	0
10	1000	30	-1	NA
10	1000	30	1	8513333
10	1000	30	10	7898000
10	1000	30	20	8205333
10	1000	30	40	8154000
10	1000	30	60	8618667
10	1000	30	1000	10614000
10	1000	30	60000	0
10	1000	50	-1	NA
10	1000	50	1	8521333
10	1000	50	10	7710000
10	1000	50	20	8369333
10	1000	50	40	8097333
10	1000	50	60	8574000
10	1000	50	1000	10606667
10	1000	50	60000	0
10	1000	200	-1	NA
10	1000	200	1	9289333
10	1000	200	10	8916667
10	1000	200	20	8740667
10	1000	200	40	8794000
10	1000	200	60	8868667
10	1000	200	1000	11446667
10	1000	200	60000	0
10	1000	500	-1	NA
10	1000	500	1	9051333
10	1000	500	10	9479333
10	1000	500	20	8637333
10	1000	500	40	8751333
10	1000	500	60	9114667
10	1000	500	1000	10640000
10	1000	500	60000	0
