fecha	gamma	alpha	lambda	subsample	tree_method	grow_policy	max_bin	max_depth	scale_pos_weight	eta	colsample_bytree	min_child_weight	max_leaves	prob_corte	nrounds	ganancia	iteracion
20220530 042524	0	0	0	1	hist	lossguide	256	0	1	0.18796023171558	0.205795677648857	10	131	0.0480687210258717	31	6269000	17
20220530 042642	0	0	0	1	hist	lossguide	256	0	1	0.0499621218962129	0.820329433409497	1	979	0.0149117798685135	14	9843000	18
20220530 042726	0	0	0	1	hist	lossguide	256	0	1	0.0781510498208226	0.253374532656744	0	166	0.0314004018068469	7	983000	19
20220530 042753	0	0	0	1	hist	lossguide	256	0	1	0.231835056527867	0.672048588152975	8	676	0.0351201531967187	14	8860000	20
20220530 042910	0	0	0	1	hist	lossguide	256	0	1	0.0739220900112135	0.918932406635621	8	25	0.00834324335733598	184	12776000	21
20220530 042953	0	0	0	1	hist	lossguide	256	0	1	0.0435165505631166	0.487614910525633	7	3	0.0131925298319289	143	13047000	22
20220530 043351	0	0	0	1	hist	lossguide	256	0	1	0.0101142929013123	0.98732874228121	7	119	0.0140016229244192	279	13302000	23
20220530 043732	0	0	0	1	hist	lossguide	256	0	1	0.0163255132518445	0.873523335756959	8	2	0.016779791624592	1698	13212000	24
20220530 043838	0	0	0	1	hist	lossguide	256	0	1	0.044277472628003	0.806132366085798	8	449	0.0139682591128351	67	13343000	25
20220530 043931	0	0	0	1	hist	lossguide	256	0	1	0.0698402022039314	0.794058295843757	8	162	0.0141641049481564	38	12813000	26
20220530 044305	0	0	0	1	hist	lossguide	256	0	1	0.0100113256426422	0.941211512439223	8	773	0.0140291936318768	222	13389000	27
20220530 044648	0	0	0	1	hist	lossguide	256	0	1	0.0100615959904085	0.998475468812697	8	568	0.0134264135717343	255	13789000	28
20220530 045108	0	0	0	1	hist	lossguide	256	0	1	0.0100104758991401	0.999446266697288	9	547	0.0138831246636596	427	13578000	29
20220530 045513	0	0	0	1	hist	lossguide	256	0	1	0.0102614539340491	0.998921697478491	7	572	0.010329224839537	289	13376000	30
20220530 045906	0	0	0	1	hist	lossguide	256	0	1	0.0100245381221037	0.598224751670216	8	613	0.0101335520240944	331	13470000	31
20220530 050301	0	0	0	1	hist	lossguide	256	0	1	0.010100673334948	0.203073103049437	8	605	0.0134446637798252	367	13448000	32
20220530 050730	0	0	0	1	hist	lossguide	256	0	1	0.0100446795606818	0.200951171273432	10	614	0.00977521217817537	555	13561000	33
20220530 051145	0	0	0	1	hist	lossguide	256	0	1	0.0100361272328794	0.379459858898319	9	567	0.0127483770376245	477	13833000	34
20220530 051533	0	0	0	1	hist	lossguide	256	0	1	0.0100029829945462	0.410526757820798	10	590	0.0136035701318151	386	13663000	35
20220530 051919	0	0	0	1	hist	lossguide	256	0	1	0.0105785474017866	0.255015742165445	10	1024	0.0124261699203186	389	13768000	36
20220530 052301	0	0	0	1	hist	lossguide	256	0	1	0.0100965864271445	0.355456016552117	9	718	0.0125256687751155	345	13740000	37
20220530 052531	0	0	0	1	hist	lossguide	256	0	1	0.0101880080646319	0.385148074095334	10	1015	0.00836606977612534	59	12979000	38
20220530 052908	0	0	0	1	hist	lossguide	256	0	1	0.0100585083800241	0.200364888165987	10	944	0.0157222470995074	346	13384000	39
20220530 052938	0	0	0	1	hist	lossguide	256	0	1	0.292264427660766	0.997094584079758	7	2	0.0126608552626314	120	13111000	40
20220530 053140	0	0	0	1	hist	lossguide	256	0	1	0.0262730726627119	0.994729228014263	4	2	0.0121278481243107	861	12982000	41
20220530 053211	0	0	0	1	hist	lossguide	256	0	1	0.13527230613218	0.200101613519101	10	1024	0.0124253730258608	25	12693000	42
20220530 053240	0	0	0	1	hist	lossguide	256	0	1	0.291398452029721	0.987281885037636	4	2	0.0147464766956082	157	13207000	43
20220530 053643	0	0	0	1	hist	lossguide	256	0	1	0.0101474130799577	0.236689434878857	9	1023	0.012717284167855	438	13666000	44
20220530 054053	0	0	0	1	hist	lossguide	256	0	1	0.0100626399038631	0.302841024823046	9	601	0.0125051080273029	465	13579000	45
20220530 054124	0	0	0	1	hist	lossguide	256	0	1	0.299452097392838	0.376659343642704	10	2	0.0123889170257796	128	12727000	46
20220530 054448	0	0	0	1	hist	lossguide	256	0	1	0.0101486576505671	0.478434945135379	8	550	0.0127079925181369	231	13929000	47
20220530 054521	0	0	0	1	hist	lossguide	256	0	1	0.110591140632363	0.999836457090153	8	2	0.0139569999816726	167	13169000	48
20220530 054544	0	0	0	1	hist	lossguide	256	0	1	0.258434435860877	0.519346995680293	5	2	0.00852155792770076	103	11623000	49
20220530 054944	0	0	0	1	hist	lossguide	256	0	1	0.0100971071952687	0.902027447050062	8	526	0.0126916053252277	326	13879000	50
20220530 055325	0	0	0	1	hist	lossguide	256	0	1	0.0101813891209129	0.96298795234594	5	549	0.0142034849150871	130	12898000	51
20220530 055754	0	0	0	1	hist	lossguide	256	0	1	0.0100941584622029	0.406898720152006	10	498	0.0114211101291787	510	13726000	52
20220530 060309	0	0	0	1	hist	lossguide	256	0	1	0.010099384973417	0.393899971443832	10	2	0.0110147955261334	2385	12572000	53
20220530 060700	0	0	0	1	hist	lossguide	256	0	1	0.0100065168410215	0.442138122776162	10	1024	0.0217357104185448	376	12224000	54
20220530 061003	0	0	0	1	hist	lossguide	256	0	1	0.0100568550263028	0.509688792307947	9	536	0.012411554742823	132	13653000	55
20220530 061249	0	0	0	1	hist	lossguide	256	0	1	0.0118306600690034	0.403305768473004	8	619	0.0121378783867939	138	13786000	56
20220530 061608	0	0	0	1	hist	lossguide	256	0	1	0.010156280532026	0.608794003471585	8	507	0.0132578112192689	192	13937000	57
20220530 061920	0	0	0	1	hist	lossguide	256	0	1	0.0100834474028575	0.67216809899017	8	532	0.0130751879536312	157	13444000	58
20220530 062240	0	0	0	1	hist	lossguide	256	0	1	0.0101823889615443	0.41439559802988	8	485	0.0131372668736185	183	13518000	59
20220530 062553	0	0	0	1	hist	lossguide	256	0	1	0.010115767925062	0.584009049619373	7	543	0.0128219072734893	134	13912000	60
20220530 062619	0	0	0	1	hist	lossguide	256	0	1	0.296343259621197	0.999951597426815	0	9	0.0105377100453711	70	12170000	61
20220530 062812	0	0	0	1	hist	lossguide	256	0	1	0.0203938014647219	0.949894940303396	8	461	0.0133065946679645	94	13527000	62
20220530 063012	0	0	0	1	hist	lossguide	256	0	1	0.021990870482479	0.237328140029684	10	730	0.0119374116055245	197	14043000	63
