fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	seed	max_depth	min_gain_to_split	lambda_l1	lambda_l2	max_bin	num_iterations	force_row_wise	learning_rate	feature_fraction	min_data_in_leaf	num_leaves	prob_corte	ganancia	iteracion
20220522 201308	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	233	TRUE	0.0238908145902756	0.203070209757224	5532	504	0.0153733915218357	1.3e+07	86
20220522 201321	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	19	TRUE	0.205381570584851	0.997161767438898	5764	776	0.0187550380511505	12957000	87
20220522 201629	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	447	TRUE	0.0119858967758638	0.491662023732862	1983	720	0.0162495996528354	13635000	88
20220522 201702	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	52	TRUE	0.0769991419449702	0.460283756450432	2871	581	0.0157986515904975	13279000	89
20220522 201832	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	325	TRUE	0.0199951516044263	0.200237579109062	3456	578	0.0183331446503707	13317000	90
20220522 202052	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	484	TRUE	0.0112791608017336	0.981680629943213	3363	94	0.0151656853277021	13462000	91
20220522 202108	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	25	TRUE	0.298044429224166	0.592027607358538	7998	16	0.0260687837243913	12462000	92
20220522 202126	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	49	TRUE	0.282733437804219	0.207161846328187	3618	701	0.012134011418277	12283000	93
20220522 202503	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	1083	TRUE	0.0115858812526114	0.218656302858763	4650	446	0.018188659454247	13070000	94
20220522 202658	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	519	TRUE	0.0144249919280361	0.951979819589679	6599	958	0.0154801561362859	13201000	95
20220522 202834	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	396	TRUE	0.0146702103903475	0.993421743134746	7338	555	0.00851222150168949	11486000	96
20220522 203143	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	529	TRUE	0.010043053286471	0.553603755221741	6684	591	0.0201665437902032	12955000	97
20220522 203211	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	103	TRUE	0.131360083307853	0.216576711637461	5106	304	0.0266915187983717	11861000	98
20220522 203229	binary	custom	TRUE	TRUE	FALSE	-100	999983	-1	0	0	0	31	22	TRUE	0.2367905456185	0.555197648678166	7718	1023	0.0172112266794204	12656000	99
