,fecha,objective,metric,first_metric_only,boost_from_average,feature_pre_filter,verbosity,seed,max_depth,min_gain_to_split,lambda_l1,lambda_l2,max_bin,num_iterations,force_row_wise,learning_rate,feature_fraction,min_data_in_leaf,num_leaves,prob_corte,ganancia,iteracion
20220522,194434,binary,custom,TRUE,TRUE,FALSE,-100,999983,-1,0,0,0,31,27,TRUE,"0,299979081562682","0,201589119660141",7996,19,"0,009491698433468",11608000,64
20220522,194635,binary,custom,TRUE,TRUE,FALSE,-100,999983,-1,0,0,0,31,317,TRUE,"0,014935596077923","0,400255882069132",3669,284,"0,016153783379726",13455000,65
20220522,194702,binary,custom,TRUE,TRUE,FALSE,-100,999983,-1,0,0,0,31,133,TRUE,"0,062551972847693","0,878902100230819",6508,16,"0,016711879259443",12890000,66
20220522,194945,binary,custom,TRUE,TRUE,FALSE,-100,999983,-1,0,0,0,31,234,TRUE,"0,01086329719071","0,367702406711344",793,313,"0,01506566344649",13449000,67
20220522,194955,binary,custom,TRUE,TRUE,FALSE,-100,999983,-1,0,0,0,31,30,TRUE,"0,298386406231851","0,999597088714233",5244,19,"0,015816104173556",12461000,68
20220522,195218,binary,custom,TRUE,TRUE,FALSE,-100,999983,-1,0,0,0,31,580,TRUE,"0,018648304603386","0,40603429935007",7998,1024,"0,027756393566056",12154000,69
20220522,195426,binary,custom,TRUE,TRUE,FALSE,-100,999983,-1,0,0,0,31,717,TRUE,"0,010449212772891","0,43601229438717",5194,16,"0,01706645781574",13092000,70
20220522,195458,binary,custom,TRUE,TRUE,FALSE,-100,999983,-1,0,0,0,31,79,TRUE,"0,090688667222365","0,433349457108298",7269,104,"0,017523201652466",13233000,71
20220522,195512,binary,custom,TRUE,TRUE,FALSE,-100,999983,-1,0,0,0,31,23,TRUE,"0,299950949745756","0,215217941626137",5806,646,"0,014834844221257",13300000,72
20220522,195823,binary,custom,TRUE,TRUE,FALSE,-100,999983,-1,0,0,0,31,612,TRUE,"0,010260470953796","0,412556150420813",5888,653,"0,01648026958958",13226000,73
20220522,200150,binary,custom,TRUE,TRUE,FALSE,-100,999983,-1,0,0,0,31,443,TRUE,"0,010067961561328","0,482928391352433",1673,1024,"0,015813659276867",13444000,74
20220522,200201,binary,custom,TRUE,TRUE,FALSE,-100,999983,-1,0,0,0,31,25,TRUE,"0,100310942735697","0,993785120047321",714,40,"0,015031401540885",12952000,75
20220522,200418,binary,custom,TRUE,TRUE,FALSE,-100,999983,-1,0,0,0,31,379,TRUE,"0,019359098142995","0,515257715493122",2580,540,"0,016006935336674",13713000,76
20220522,200604,binary,custom,TRUE,TRUE,FALSE,-100,999983,-1,0,0,0,31,318,TRUE,"0,012631074755444","0,200138637269335",4282,32,"0,023116049263571",12677000,77
20220522,200645,binary,custom,TRUE,TRUE,FALSE,-100,999983,-1,0,0,0,31,96,TRUE,"0,056135956638719","0,359323277722365",3258,526,"0,015611432387546",13595000,78
